caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10.pdf,INTIMAX_PAGINAS_5_A_10.pdf,.pdf,5172607,4.93 MB,2025-12-20 14:19,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10.pdf,2_arquivos_soltos\pdfs\intimax_paginas_5_a_10.pdf,intimax_paginas_5_a_10.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf,INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf,.pdf,10163786,9.69 MB,2025-12-20 14:18,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf,2_arquivos_soltos\pdfs\intimax_sculpt_apresentacao_final (1).pdf,intimax_sculpt_apresentacao_final (1).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_APRESENTACAO_FINAL.pdf,INTIMAX_SCULPT_APRESENTACAO_FINAL.pdf,.pdf,10163786,9.69 MB,2025-12-20 14:16,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_APRESENTACAO_FINAL.pdf,2_arquivos_soltos\pdfs\intimax_sculpt_apresentacao_final.pdf,intimax_sculpt_apresentacao_final.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_COMPLETO_FINAL.pdf,INTIMAX_SCULPT_COMPLETO_FINAL.pdf,.pdf,7951816,7.58 MB,2025-12-20 15:21,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_COMPLETO_FINAL.pdf,2_arquivos_soltos\pdfs\intimax_sculpt_completo_final.pdf,intimax_sculpt_completo_final.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_COM_FOTOS_REAIS.pdf,INTIMAX_SCULPT_COM_FOTOS_REAIS.pdf,.pdf,514409,502.35 KB,2025-12-20 15:16,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_COM_FOTOS_REAIS.pdf,2_arquivos_soltos\pdfs\intimax_sculpt_com_fotos_reais.pdf,intimax_sculpt_com_fotos_reais.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_FINAL_LIMPO.pdf,INTIMAX_SCULPT_FINAL_LIMPO.pdf,.pdf,6359302,6.06 MB,2025-12-20 15:09,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_FINAL_LIMPO.pdf,2_arquivos_soltos\pdfs\intimax_sculpt_final_limpo.pdf,intimax_sculpt_final_limpo.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI (1).pdf,INTIMAX_SCULPT_METODO_RODOVANSKI (1).pdf,.pdf,138277,135.04 KB,2025-12-20 10:27,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI (1).pdf,2_arquivos_soltos\pdfs\intimax_sculpt_metodo_rodovanski (1).pdf,intimax_sculpt_metodo_rodovanski (1).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI (2).pdf,INTIMAX_SCULPT_METODO_RODOVANSKI (2).pdf,.pdf,138277,135.04 KB,2025-12-20 10:27,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI (2).pdf,2_arquivos_soltos\pdfs\intimax_sculpt_metodo_rodovanski (2).pdf,intimax_sculpt_metodo_rodovanski (2).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI.pdf,INTIMAX_SCULPT_METODO_RODOVANSKI.pdf,.pdf,138277,135.04 KB,2025-12-20 10:27,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_SCULPT_METODO_RODOVANSKI.pdf,2_arquivos_soltos\pdfs\intimax_sculpt_metodo_rodovanski.pdf,intimax_sculpt_metodo_rodovanski.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_4_PAGINAS_SEPARADAS.pdf,METODO_INTIMAX_4_PAGINAS_SEPARADAS.pdf,.pdf,3751360,3.58 MB,2025-12-20 10:32,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_4_PAGINAS_SEPARADAS.pdf,2_arquivos_soltos\pdfs\metodo_intimax_4_paginas_separadas.pdf,metodo_intimax_4_paginas_separadas.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_12_FOTOS_8_DEPOIMENTOS.pdf,METODO_INTIMAX_SCULPT_12_FOTOS_8_DEPOIMENTOS.pdf,.pdf,1886338,1.8 MB,2025-12-19 23:19,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_12_FOTOS_8_DEPOIMENTOS.pdf,2_arquivos_soltos\pdfs\metodo_intimax_sculpt_12_fotos_8_depoimentos.pdf,metodo_intimax_sculpt_12_fotos_8_depoimentos.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_COMPLETO.pdf,METODO_INTIMAX_SCULPT_COMPLETO.pdf,.pdf,4822972,4.6 MB,2025-12-20 10:33,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_COMPLETO.pdf,2_arquivos_soltos\pdfs\metodo_intimax_sculpt_completo.pdf,metodo_intimax_sculpt_completo.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_FINAL (1).pdf,METODO_INTIMAX_SCULPT_FINAL (1).pdf,.pdf,67757,66.17 KB,2025-12-20 10:28,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_FINAL (1).pdf,2_arquivos_soltos\pdfs\metodo_intimax_sculpt_final (1).pdf,metodo_intimax_sculpt_final (1).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_FINAL.pdf,METODO_INTIMAX_SCULPT_FINAL.pdf,.pdf,67757,66.17 KB,2025-12-20 10:25,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_FINAL.pdf,2_arquivos_soltos\pdfs\metodo_intimax_sculpt_final.pdf,metodo_intimax_sculpt_final.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_PREMIUM.pdf,METODO_INTIMAX_SCULPT_PREMIUM.pdf,.pdf,5216247,4.97 MB,2025-12-19 23:19,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\METODO_INTIMAX_SCULPT_PREMIUM.pdf,2_arquivos_soltos\pdfs\metodo_intimax_sculpt_premium.pdf,metodo_intimax_sculpt_premium.pdf,PORTAL/SITE
planilha de postagens grok - Página1.csv,planilha de postagens grok - Página1.csv,.csv,43064,42.05 KB,2025-12-28 10:58,2025-12-28 10:58,planilha de postagens grok - Página1.csv,planilha de postagens grok - página1.csv,planilha de postagens grok - página1.csv,PORTAL/SITE
